pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"Kepler-6 b","Kepler-6",1,14.61653600,0.66800000,,587.03900000
"Kepler-491 b","Kepler-491",1,8.92000000,,,630.78500000
"Kepler-257 b","Kepler-257",1,2.61000000,,,780.25600000
"Kepler-216 b","Kepler-216",1,2.35000000,,,1187.47000000
"Kepler-32 c","Kepler-32",1,2.00000000,0.50000000,,323.84700000
"Kepler-259 c","Kepler-259",1,2.70000000,,,1002.14000000
"Kepler-148 c","Kepler-148",1,3.60000000,,,791.16300000
"Kepler-222 d","Kepler-222",1,3.69000000,,,758.85400000
"Kepler-29 c","Kepler-29",1,2.34000000,0.01415851,,832.53200000
"Kepler-179 b","Kepler-179",1,1.64000000,,,605.68000000
"Kepler-165 c","Kepler-165",1,2.23000000,,,560.88500000
"Kepler-228 c","Kepler-228",1,2.70000000,,,1644.61000000
"Kepler-20 c","Kepler-20",2,2.89400000,0.03492451,,282.56300000
"Kepler-166 d","Kepler-166",1,1.73000000,,,603.53000000
"Kepler-52 b","Kepler-52",1,2.10000000,0.42475750,,321.54200000
"Kepler-197 d","Kepler-197",2,1.22000000,,,330.57500000
"K2-183 d","K2-183",1,2.30000000,,,329.04100000
"K2-187 e","K2-187",1,1.90000000,,,330.91600000
"K2-187 c","K2-187",1,1.40000000,,,330.91600000
"K2-270 b","K2-270",1,1.38000000,,,280.51800000
"Kepler-184 d","Kepler-184",1,2.49000000,,,610.32600000
"Kepler-257 d","Kepler-257",1,4.95000000,,,780.25600000
"K2-280 b","K2-280",1,7.50000000,0.11672965,,391.53700000
"K2-381 c","K2-381",1,2.00000000,,,145.70100000
"Kepler-222 c","Kepler-222",1,4.64000000,,,758.85400000
"HATS-36 b","HATS-36",1,12.92000000,,,856.43600000
"Kepler-229 b","Kepler-229",1,2.20000000,,,826.26500000
"K2-222 b","K2-222",1,2.27500000,0.02359764,"G0",101.32100000
"K2-214 b","K2-214",1,2.51000000,,,300.64000000
"K2-220 b","K2-220",1,2.37000000,,,233.51400000
"K2-216 b","K2-216",1,1.75000000,0.02517069,"K5 V",115.46100000
"K2-212 b","K2-212",1,2.65000000,,,109.21800000
"Kepler-166 c","Kepler-166",1,2.38000000,,,603.53000000
"K2-151 b","K2-151",2,1.49000000,,,69.47980000
