pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"Kepler-6 b","Kepler-6",1,14.61653600,0.66800000,,587.03900000,296.8372475,48.2399695
"Kepler-491 b","Kepler-491",1,8.92000000,,,630.78500000,287.1305782,42.3501533
"Kepler-257 b","Kepler-257",1,2.61000000,,,780.25600000,297.3159994,46.0232642
"Kepler-216 b","Kepler-216",1,2.35000000,,,1187.47000000,293.7280695,46.1291139
"Kepler-32 c","Kepler-32",1,2.00000000,0.50000000,,323.84700000,297.8423073,46.5743595
"Kepler-259 c","Kepler-259",1,2.70000000,,,1002.14000000,288.2119707,46.6150461
"Kepler-148 c","Kepler-148",1,3.60000000,,,791.16300000,289.7861626,46.8588176
"Kepler-222 d","Kepler-222",1,3.69000000,,,758.85400000,287.9060885,46.9377479
"Kepler-29 c","Kepler-29",1,2.34000000,0.01415851,,832.53200000,298.3483820,47.4913021
"Kepler-179 b","Kepler-179",1,1.64000000,,,605.68000000,298.6636163,47.7619329
"Kepler-165 c","Kepler-165",1,2.23000000,,,560.88500000,280.6909200,47.8096702
"Kepler-228 c","Kepler-228",1,2.70000000,,,1644.61000000,296.2860853,48.2246328
"Kepler-20 c","Kepler-20",2,2.89400000,0.03492451,,282.56300000,287.6979913,42.3385782
"Kepler-166 d","Kepler-166",1,1.73000000,,,603.53000000,293.1600977,48.8812074
"Kepler-52 b","Kepler-52",1,2.10000000,0.42475750,,321.54200000,286.7380152,49.9757383
"Kepler-197 d","Kepler-197",2,1.22000000,,,330.57500000,295.2264739,50.5592348
"K2-183 d","K2-183",1,2.30000000,,,329.04100000,125.0071770,14.0194586
"K2-187 e","K2-187",1,1.90000000,,,330.91600000,132.5235618,23.1924709
"K2-187 c","K2-187",1,1.40000000,,,330.91600000,132.5235618,23.1924709
"K2-270 b","K2-270",1,1.38000000,,,280.51800000,131.2665588,13.5497322
"Kepler-184 d","Kepler-184",1,2.49000000,,,610.32600000,291.9518784,43.0746172
"Kepler-257 d","Kepler-257",1,4.95000000,,,780.25600000,297.3159994,46.0232642
"K2-280 b","K2-280",1,7.50000000,0.11672965,,391.53700000,291.5953596,-22.2477071
"K2-381 c","K2-381",1,2.00000000,,,145.70100000,288.0267612,-21.0075789
"Kepler-222 c","Kepler-222",1,4.64000000,,,758.85400000,287.9060885,46.9377479
"HATS-36 b","HATS-36",1,12.92000000,,,856.43600000,291.4787013,-23.2028183
"Kepler-229 b","Kepler-229",1,2.20000000,,,826.26500000,286.9994758,48.3757867
"K2-222 b","K2-222",1,2.27500000,0.02359764,"G0",101.32100000,16.4625203,11.7537171
"K2-214 b","K2-214",1,2.51000000,,,300.64000000,14.8759777,4.2277722
"K2-220 b","K2-220",1,2.37000000,,,233.51400000,12.7700071,9.5167694
"K2-216 b","K2-216",1,1.75000000,0.02517069,"K5 V",115.46100000,11.4802354,6.3470302
"K2-212 b","K2-212",1,2.65000000,,,109.21800000,18.4241015,3.0970732
"Kepler-166 c","Kepler-166",1,2.38000000,,,603.53000000,293.1600977,48.8812074
"K2-151 b","K2-151",2,1.49000000,,,69.47980000,19.3047733,9.5012663
"K2-295 b","K2-295",1,10.05447300,0.33500000,"K5 V",232.80100000,19.6101417,6.8167277
"K2-282 b","K2-282",1,2.50000000,,,496.28900000,13.4321524,7.9952914
"K2-283 b","K2-283",1,3.52000000,,,402.91500000,13.1943679,9.6929181
"K2-281 b","K2-281",1,8.18000000,,,458.13900000,16.2274724,7.2692169
"K2-387 b","K2-387",1,7.32200000,,,266.31800000,19.4418282,11.3684915
"Kepler-197 b","Kepler-197",2,1.02000000,,,330.57500000,295.2264739,50.5592348
"K2-156 b","K2-156",1,1.10000000,,,150.21000000,182.6996730,-6.2943552
"K2-157 b","K2-157",1,0.93500000,0.00360000,"G9 V",298.37300000,183.7514959,-5.7820178
"K2-158 b","K2-158",1,2.64000000,,,197.29900000,179.9397081,-5.7216879
"K2-244 b","K2-244",1,1.75000000,,,212.90200000,183.4686492,-3.8318097
